src,dst,rel,strength
barrier-pole-mode,obstruction-class,INSTANCE_OF,HEURISTIC
barrier-prime-phase-coherence,obstruction-class,INSTANCE_OF,HEURISTIC
barrier-structural-mismatch,obstruction-class,INSTANCE_OF,HEURISTIC
barrier-unimodularity,obstruction-class,INSTANCE_OF,HEURISTIC
barrier-unimodularity,experiments/tfpt-discovery/e8_composite_gauss_result.json,KILLED_BY,HEURISTIC
barrier-unimodularity,experiments/tfpt-discovery/e8_composite_gauss_result.json,USED_BY,HEURISTIC
barrier-world-blind,obstruction-class,INSTANCE_OF,HEURISTIC
barrier-world-blind,experiments/tfpt-discovery/gabor_first_contact_selberg_probe.py,USED_BY,HEURISTIC
barrier-world-blind,experiments/tfpt-discovery/gabor_first_contact_selberg_result.json,USED_BY,HEURISTIC
barrier-world-blind,verification/v964_lstar_coherence_census.py,USED_BY,HEURISTIC
barrier-zero-denominator,obstruction-class,INSTANCE_OF,HEURISTIC
berkovich-bruhat-tits-geometry,arithmetic-geometry,INSTANCE_OF,HEURISTIC
berkovich-bruhat-tits-geometry,scaling-site,SPECIAL_CASE_OF,HEURISTIC
bernstein-function,completely-monotone,REQUIRES,THEOREM
berry-keating-dilation,spectral-framework,INSTANCE_OF,HEURISTIC
berry-keating-dilation,berry-keating-xp,SPECIAL_CASE_OF,HEURISTIC
berry-keating-dilation,event-log-function,WOULD_CLOSE,HEURISTIC
berry-keating-xp,spectral-framework,INSTANCE_OF,HEURISTIC
berry-keating-xp,hilbert-polya-operator,SPECIAL_CASE_OF,HEURISTIC
beurling-deny-criterion,positivity-semigroup,EQUIVALENT_TO,THEOREM
beurling-deny-criterion,positivity-criterion,INSTANCE_OF,HEURISTIC
beurling-deny-criterion,experiments/tfpt-discovery/bd_seam_probe.py,USED_BY,HEURISTIC
bohr-lift,spectral-framework,INSTANCE_OF,HEURISTIC
bohr-lift,prime-torus,REQUIRES,THEOREM
bost-connes-kms-system,analytic-object,INSTANCE_OF,HEURISTIC
bost-connes-kms-system,bost-connes-system,SPECIAL_CASE_OF,THEOREM
bost-connes-kms-system,event-log-function,WOULD_CLOSE,HEURISTIC
bost-connes-system,analytic-object,INSTANCE_OF,HEURISTIC
bost-connes-system,riemann-zeta,REALIZES,THEOREM
bost-connes-system,adele-class-space,REQUIRES,CONDITIONAL
bost-connes-system,experiments/tfpt-discovery/seam_bc_primon_bridge_probe.py,USED_BY,HEURISTIC
bruhat-tits-tree,arithmetic-geometry,INSTANCE_OF,HEURISTIC
bruhat-tits-tree,hecke-correspondence,REALIZES,CONDITIONAL
burnol-lower-bound,analytic-object,INSTANCE_OF,HEURISTIC
burnol-lower-bound,baez-duarte-rate-conjecture,REQUIRES,THEOREM
canonical-system-hamiltonian,spectral-framework,INSTANCE_OF,HEURISTIC
canonical-system-hamiltonian,screw-function-criterion,REQUIRES,CONDITIONAL
carlson-theorem,analytic-object,INSTANCE_OF,HEURISTIC
carlson-theorem,vitali-montel,REQUIRES,CONDITIONAL
causal-spin-network-geometry,no-archimedean-prime-joint-space,BLOCKED_BY,HEURISTIC
causal-spin-network-geometry,arithmetic-geometry,INSTANCE_OF,HEURISTIC
census-qsm,euler-side-blindness,BLOCKED_BY,CONDITIONAL
census-qsm,no-canonical-integer-label,BLOCKED_BY,CONDITIONAL
census-qsm,analytic-object,INSTANCE_OF,HEURISTIC
census-qsm,multiplicative-composition-law,REQUIRES,THEOREM
census-qsm,event-log-function,WOULD_CLOSE,CONDITIONAL
census-qsm-normflow,euler-side-blindness,BLOCKED_BY,CONDITIONAL
census-qsm-normflow,positive-cone-blindness,BLOCKED_BY,THEOREM
census-qsm-normflow,analytic-object,INSTANCE_OF,HEURISTIC
census-qsm-normflow,connes-marcolli-gln-system,INSTANCE_OF,THEOREM
census-qsm-normflow,multiplicative-composition-law,REALIZES,THEOREM
census-qsm-normflow,event-log-function,WOULD_CLOSE,CONDITIONAL
chebyshev-psi,analytic-object,INSTANCE_OF,HEURISTIC
chebyshev-psi,von-mangoldt,REQUIRES,THEOREM
chi-minus-4-census,analytic-object,INSTANCE_OF,HEURISTIC
chi-minus-4-census,class-number-formula-q-i,TRANSFORM_OF,CONDITIONAL
chuk-window-certificate,weil-positivity,IMPLIED_BY,CONDITIONAL
chuk-window-certificate,positivity-criterion,INSTANCE_OF,HEURISTIC
chuk-window-certificate,finite-weil-window,SPECIAL_CASE_OF,CONDITIONAL
chuk-window-certificate,experiments/tfpt-discovery/weil_window_certificate_probe.py,USED_BY,HEURISTIC
chuk-window-certificate,experiments/tfpt-discovery/weil_window_certificate_result.json,USED_BY,HEURISTIC
chuk-window-certificate,experiments/tfpt-discovery/weil_window_profile_scout_result.json,USED_BY,HEURISTIC
class-number-formula-q-i,analytic-object,INSTANCE_OF,HEURISTIC
cm-seam,tfpt-compiler,INSTANCE_OF,HEURISTIC
cohen-seeds,euler-side-blindness,BLOCKED_BY,CONDITIONAL
cohen-seeds,positive-cone-blindness,BLOCKED_BY,CONDITIONAL
cohen-seeds,positive-cone-blindness,BLOCKED_BY,CONDITIONAL
cohen-seeds,analytic-object,INSTANCE_OF,HEURISTIC
cohen-seeds,edge-l-values,SPECIAL_CASE_OF,THEOREM
compact-window-certificate-mechanism,obstruction-class,INSTANCE_OF,HEURISTIC
completely-monotone,laplace-transform,TRANSFORM_OF,THEOREM
conductor-operator-burnol,spectral-framework,INSTANCE_OF,HEURISTIC
conductor-operator-burnol,hilbert-polya-operator,REQUIRES,HEURISTIC
connes-adele-scaling-flow,spectral-framework,INSTANCE_OF,HEURISTIC
connes-adele-scaling-flow,adele-class-space,REQUIRES,CONDITIONAL
connes-adele-scaling-flow,connes-trace-formula,SPECIAL_CASE_OF,CONDITIONAL
connes-adele-scaling-flow,event-log-function,WOULD_CLOSE,CONDITIONAL
connes-marcolli-gln-system,analytic-object,INSTANCE_OF,HEURISTIC
connes-trace-formula,spectral-framework,INSTANCE_OF,HEURISTIC
connes-trace-formula,adele-class-space,REQUIRES,CONDITIONAL
connes-trace-formula-dichotomy,obstruction-class,INSTANCE_OF,HEURISTIC
connes-trace-formula-dichotomy,lstar-statement,REDUCES_TO,CONDITIONAL
critical-line,arithmetic-geometry,INSTANCE_OF,HEURISTIC
critical-line,critical-strip,SPECIAL_CASE_OF,THEOREM
critical-strip,arithmetic-geometry,INSTANCE_OF,HEURISTIC
cubic-wedges,riemann-hypothesis,BLOCKED_BY,HEURISTIC
cubic-wedges,spectral-framework,INSTANCE_OF,HEURISTIC
cuntz-laca-semigroup-algebra,analytic-object,INSTANCE_OF,HEURISTIC
cuntz-system,spectral-framework,INSTANCE_OF,HEURISTIC
cusp-surgery,spectral-framework,INSTANCE_OF,HEURISTIC
cusp-surgery,efrat-determinant,REQUIRES,THEOREM
de-branges-positivity,weil-positivity,IMPLIES,THEOREM
de-branges-positivity,positivity-criterion,INSTANCE_OF,HEURISTIC
debranges-space,analytic-object,INSTANCE_OF,HEURISTIC
debranges-space,hermite-biehler-class,REQUIRES,THEOREM
debranges-space,hilbert-polya-operator,REQUIRES,CONDITIONAL
debruijn-newman-constant,analytic-object,INSTANCE_OF,HEURISTIC
deligne-rh,weil-conjectures,IMPLIES,THEOREM
deligne-rh,analytic-object,INSTANCE_OF,HEURISTIC
deninger-cohomology,weil-conjectures,GENERALIZES,CONDITIONAL
deninger-cohomology,spectral-framework,INSTANCE_OF,HEURISTIC
deninger-cohomology,hilbert-polya-operator,WOULD_CLOSE,CONDITIONAL
deninger-foliated-dynamics,spectral-framework,INSTANCE_OF,HEURISTIC
deninger-foliated-dynamics,stochastic-scale-semigroup-on-connes-cokernel,REDUCES_TO,CONDITIONAL
deninger-foliated-dynamics,deninger-cohomology,SPECIAL_CASE_OF,CONDITIONAL
deninger-foliated-dynamics,event-log-function,WOULD_CLOSE,CONDITIONAL
dirichlet-series-polytorus,analytic-object,INSTANCE_OF,HEURISTIC
dirichlet-series-polytorus,bohr-lift,TRANSFORM_OF,THEOREM
discrete-spectrum-neutrality,obstruction-class,INSTANCE_OF,HEURISTIC
dual-pair-language,positive-cone-blindness,BLOCKED_BY,CONDITIONAL
dual-pair-language,positive-cone-blindness,BLOCKED_BY,CONDITIONAL
dual-pair-language,spectral-framework,INSTANCE_OF,HEURISTIC
dyadic-block-capture-eta,research-question,INSTANCE_OF,HEURISTIC
dyadic-block-capture-eta,baez-duarte-rate-conjecture,REQUIRES,CONDITIONAL
dyadic-block-capture-eta,vasyunin-gram-matrix,REQUIRES,THEOREM
dyadic-block-capture-eta,experiments/tfpt-discovery/nb_dyadic_capture_probe.py,USED_BY,CONDITIONAL
dyadic-block-capture-eta,riemann-hypothesis,WOULD_CLOSE,CONDITIONAL
dyson-fourier-quasicrystal-criterion,weil-positivity,EQUIVALENT_TO,THEOREM
dyson-fourier-quasicrystal-criterion,analytic-object,INSTANCE_OF,HEURISTIC
dyson-fourier-quasicrystal-criterion,fourier-quasicrystal-geometry,REQUIRES,CONDITIONAL
e8-cascade,finite-clock-commensurability,BLOCKED_BY,THEOREM
e8-cascade,tfpt-compiler,INSTANCE_OF,HEURISTIC
e8-cascade,tfpt-e8-lattice,REQUIRES,CONDITIONAL
e8-positive-lattice-norm,positive-cone-blindness,BLOCKED_BY,THEOREM
e8-positive-lattice-norm,analytic-object,INSTANCE_OF,HEURISTIC
e8-sublattice-rg-semigroup,euler-side-blindness,BLOCKED_BY,CONDITIONAL
e8-sublattice-rg-semigroup,functional-equation,DUAL_TO,THEOREM
e8-sublattice-rg-semigroup,analytic-object,INSTANCE_OF,HEURISTIC
e8-sublattice-rg-semigroup,euler-side-blindness,INSTANCE_OF,CONDITIONAL
e8-sublattice-rg-semigroup,census-qsm-normflow,REALIZES,CONDITIONAL
e8-theta-heat-operator,discrete-spectrum-neutrality,BLOCKED_BY,THEOREM
e8-theta-heat-operator,euler-side-blindness,BLOCKED_BY,CONDITIONAL
e8-theta-heat-operator,spectral-framework,INSTANCE_OF,HEURISTIC
e8-theta-series,euler-side-blindness,BLOCKED_BY,CONDITIONAL
e8-theta-series,analytic-object,INSTANCE_OF,HEURISTIC
e8-theta-series,eisenstein-rh-neutrality,REALIZES,THEOREM
e8-theta-series,static-prime-event-log,REALIZES,THEOREM
e8-theta-series,hecke-operator,REQUIRES,CONDITIONAL
e8-theta-series,epstein-zeta,TRANSFORM_OF,THEOREM
e8-theta-series,riemann-zeta,TRANSFORM_OF,THEOREM
e8-theta-series,experiments/tfpt-discovery/li_e4_probe.py,USED_BY,HEURISTIC
e8-theta-series,experiments/tfpt-discovery/prime_shadow_probe.py,USED_BY,HEURISTIC
edge-l-values,spectral-framework,INSTANCE_OF,HEURISTIC
edge-nonvanishing-method,spectral-framework,INSTANCE_OF,HEURISTIC
efrat-determinant,analytic-object,INSTANCE_OF,HEURISTIC
eisenstein-constant-term,analytic-object,INSTANCE_OF,HEURISTIC
eisenstein-rh-neutrality,analytic-object,INSTANCE_OF,HEURISTIC
eisenstein-rh-neutrality,weight4-gl1-transport,REQUIRES,THEOREM
eisenstein-series,analytic-object,INSTANCE_OF,HEURISTIC
eisenstein-series,eisenstein-constant-term,REQUIRES,THEOREM
epstein-zeta,analytic-object,INSTANCE_OF,HEURISTIC
epstein-zeta,mellin-transform,REQUIRES,CONDITIONAL
equality-hunt,connes-trace-formula-dichotomy,BLOCKED_BY,THEOREM
equality-hunt,research-question,INSTANCE_OF,HEURISTIC
equality-hunt,experiments/tfpt-discovery/hecke_index_theorem_probe.py,USED_BY,HEURISTIC
euler-gross-entropy-gap,analytic-object,INSTANCE_OF,HEURISTIC
euler-gross-entropy-gap,main-world,REQUIRES,HEURISTIC
euler-side-blindness,obstruction-class,INSTANCE_OF,HEURISTIC
event-log-function,finite-clock-commensurability,BLOCKED_BY,THEOREM
event-log-function,no-canonical-integer-label,BLOCKED_BY,CONDITIONAL
event-log-function,research-question,INSTANCE_OF,HEURISTIC
event-log-function,archimedean-place,REQUIRES,CONDITIONAL
event-log-function,unitarity-of-emergent-time,REQUIRES,CONDITIONAL
explicit-formula,analytic-object,INSTANCE_OF,HEURISTIC
explicit-formula,riemann-zeta,REQUIRES,THEOREM
explicit-formula,von-mangoldt,REQUIRES,THEOREM
explicit-formula,experiments/tfpt-discovery/cased_replicate_probe.py,USED_BY,HEURISTIC
explicit-formula,experiments/tfpt-discovery/rank3_uniformity_probe.py,USED_BY,HEURISTIC
explicit-formula,experiments/tfpt-discovery/rank3_zeroside_probe.py,USED_BY,HEURISTIC
explicit-formula,experiments/tfpt-discovery/weil_gabor_explicit_formula_probe.py,USED_BY,HEURISTIC
explicit-formula,experiments/tfpt-discovery/zero_comb_probe.py,USED_BY,HEURISTIC
explicit-formula,experiments/tfpt-discovery/zeta_explicit_formula_trace_probe.py,USED_BY,HEURISTIC
explicit-formula,rh/lean/RH/GaborExplicitFormula.lean,USED_BY,HEURISTIC
extraction-joint,barrier-finite-window-ceiling,BLOCKED_BY,CONDITIONAL
extraction-joint,research-question,INSTANCE_OF,HEURISTIC
extraction-joint,selected-window-family,REQUIRES,CONDITIONAL
extraction-joint,experiments/tfpt-discovery/extraction_joint_probe.py,USED_BY,HEURISTIC
extraction-joint,rh/problem/extraction_joint.pdf,USED_BY,HEURISTIC
extraction-joint,rh/problem/extraction_joint.tex,USED_BY,HEURISTIC
extraction-joint,weil-positivity,WOULD_CLOSE,CONDITIONAL
farkas-witness-n-mod-8,obstruction-class,INSTANCE_OF,HEURISTIC
finite-clock-commensurability,obstruction-class,INSTANCE_OF,HEURISTIC
finite-family-target-mismatch,obstruction-class,INSTANCE_OF,HEURISTIC
finite-infinite-place-balance,analytic-object,INSTANCE_OF,HEURISTIC
finite-infinite-place-balance,archimedean-place,REQUIRES,THEOREM
finite-infinite-place-balance,weil-positivity,REQUIRES,THEOREM
finite-spectral-triple-zero-approximants,spectral-framework,INSTANCE_OF,HEURISTIC
finite-spectral-triple-zero-approximants,w2-form-density,REQUIRES,CONDITIONAL
finite-spectral-triple-zero-approximants,hilbert-polya-operator,WOULD_CLOSE,CONDITIONAL
finite-weil-gns-metric,finite-family-target-mismatch,BLOCKED_BY,CONDITIONAL
finite-weil-gns-metric,analytic-object,INSTANCE_OF,HEURISTIC
finite-weil-window,barrier-finite-window-ceiling,BLOCKED_BY,CONDITIONAL
finite-weil-window,compact-window-certificate-mechanism,BLOCKED_BY,THEOREM
finite-weil-window,analytic-object,INSTANCE_OF,HEURISTIC
finite-weil-window,weil-quadratic-form,SPECIAL_CASE_OF,CONDITIONAL
finite-weil-window,experiments/tfpt-discovery/dirichlet_l4_floor_probe.py,USED_BY,HEURISTIC
finite-weil-window,experiments/tfpt-discovery/hecke_channel_columns_probe.py,USED_BY,HEURISTIC
finite-weil-window,experiments/tfpt-discovery/hecke_sos_probe.py,USED_BY,HEURISTIC
finite-weil-window,experiments/tfpt-discovery/margin_link_probe.py,USED_BY,HEURISTIC
finite-weil-window,experiments/tfpt-discovery/suzuki_contact_probe.py,USED_BY,HEURISTIC
finite-weil-window,experiments/tfpt-discovery/w1_matrix_identity_probe.py,USED_BY,HEURISTIC
finite-weil-window,experiments/tfpt-discovery/w2_form_density_probe.py,USED_BY,HEURISTIC
finite-weil-window,notes/arxiv_w1_note/note_w1_suzuki_identification.tex,USED_BY,HEURISTIC
finite-weil-window,verification/v861_krein_normalform_lean.py,USED_BY,HEURISTIC
fixed-finite-carrier-rank-obstruction,obstruction-class,INSTANCE_OF,HEURISTIC
fixed-finite-carrier-rank-obstruction,strict-weil-window-floor-zhu,REQUIRES,CONDITIONAL
fixed-finite-carrier-rank-obstruction,verification/v1021_all_place_tate_rank_audit.py,USED_BY,THEOREM
fourier-quasicrystal-geometry,infinite-rank-prime-fourier-module,BLOCKED_BY,THEOREM
fourier-quasicrystal-geometry,arithmetic-geometry,INSTANCE_OF,HEURISTIC
fourier-transform,spectral-framework,INSTANCE_OF,HEURISTIC
frequently-selected-aug-dual-resolvent,research-question,INSTANCE_OF,HEURISTIC
frequently-selected-aug-dual-resolvent,lstar-statement,REQUIRES,CONDITIONAL
functional-equation,analytic-object,INSTANCE_OF,HEURISTIC
functional-equation,experiments/tfpt-discovery/zeta_funceq_duality_probe.py,USED_BY,HEURISTIC
gabor-prime-side-criterion,gabor-rational-criterion,EQUIVALENT_TO,THEOREM
gabor-prime-side-criterion,riemann-hypothesis,EQUIVALENT_TO,THEOREM
gabor-prime-side-criterion,positivity-criterion,INSTANCE_OF,HEURISTIC
gabor-prime-side-criterion,explicit-formula,REQUIRES,THEOREM
gabor-prime-side-criterion,rh/lean/RH/GaborCountableCriterion.lean,USED_BY,THEOREM
gabor-pure-criterion,riemann-hypothesis,EQUIVALENT_TO,THEOREM
gabor-pure-criterion,positivity-criterion,INSTANCE_OF,HEURISTIC
gabor-pure-criterion,gabor-zero-side,REQUIRES,THEOREM
gabor-pure-criterion,rh/lean/RH/GaborExposedOrbit.lean,USED_BY,THEOREM
gabor-rational-criterion,gabor-pure-criterion,EQUIVALENT_TO,THEOREM
gabor-rational-criterion,riemann-hypothesis,EQUIVALENT_TO,THEOREM
gabor-rational-criterion,positivity-criterion,INSTANCE_OF,HEURISTIC
gabor-rational-criterion,rh/lean/RH/GaborCountableCriterion.lean,USED_BY,THEOREM
gabor-zero-side,analytic-object,INSTANCE_OF,HEURISTIC
gabor-zero-side,experiments/tfpt-discovery/gabor_exposed_orbit_probe.py,USED_BY,HEURISTIC
gate-zero,barrier-p2-defect,BLOCKED_BY,CONDITIONAL
gate-zero,tfpt-compiler,INSTANCE_OF,HEURISTIC
gate-zero,experiments/tfpt-discovery/gabor_first_contact_selberg_probe.py,KILLED_BY,HEURISTIC
gate-zero,groupoid,REQUIRES,CONDITIONAL
gate-zero,half-density,REQUIRES,CONDITIONAL
gate-zero,experiments/tfpt-discovery/gabor_first_contact_selberg_probe.py,USED_BY,HEURISTIC
gate-zero,verification/v733_strat3_gate0_census.py,USED_BY,HEURISTIC
gaussian-e8-module,groupoid,CO_OCCURS,STATISTICAL
gaussian-e8-module,tfpt-compiler,INSTANCE_OF,HEURISTIC
gaussian-e8-module,experiments/tfpt-discovery/groupoid_halfdensity_result.json,KILLED_BY,HEURISTIC
gaussian-e8-module,experiments/tfpt-discovery/z1_edge_signature_probe.py,KILLED_BY,HEURISTIC
gaussian-e8-module,cm-seam,REQUIRES,CONDITIONAL
gaussian-e8-module,hecke-correspondence,REQUIRES,CONDITIONAL
gaussian-e8-module,tfpt-e8-lattice,REQUIRES,CONDITIONAL
gaussian-e8-module,experiments/tfpt-discovery/census_qsm_normflow_probe.py,USED_BY,HEURISTIC
gaussian-e8-module,experiments/tfpt-discovery/e8_ramified_jetcode_probe.py,USED_BY,HEURISTIC
gaussian-e8-module,experiments/tfpt-discovery/groupoid_halfdensity_probe.py,USED_BY,HEURISTIC
gaussian-e8-module,experiments/tfpt-discovery/groupoid_halfdensity_result.json,USED_BY,HEURISTIC
gaussian-e8-module,experiments/tfpt-discovery/hecke_mod_ramified_probe.py,USED_BY,HEURISTIC
gaussian-e8-module,experiments/tfpt-discovery/moonshot_hecke_groupoid_probe.py,USED_BY,HEURISTIC
gaussian-e8-module,experiments/tfpt-discovery/seam_clifford_modular_s_probe.py,USED_BY,HEURISTIC
gaussian-e8-module,experiments/tfpt-discovery/two_qubit_clifford_probe.py,USED_BY,HEURISTIC
gaussian-e8-module,experiments/tfpt-discovery/z1_edge_signature_probe.py,USED_BY,HEURISTIC
gaussian-smoothed-zero-density,analytic-object,INSTANCE_OF,HEURISTIC
gaussian-smoothed-zero-density,weil-quadratic-form,TRANSFORM_OF,THEOREM
gaussian-smoothed-zero-density,experiments/tfpt-discovery/heat_gabor_restatement_probe.py,USED_BY,THEOREM
gorz-theorem,jensen-polynomials,IMPLIES,THEOREM
gorz-theorem,analytic-object,INSTANCE_OF,HEURISTIC
groupoid,arithmetic-geometry,INSTANCE_OF,HEURISTIC
groupoid,experiments/tfpt-discovery/groupoid_halfdensity_probe.py,KILLED_BY,HEURISTIC
groupoid,ucp-map,REQUIRES,CONDITIONAL
groupoid,experiments/tfpt-discovery/automaton_sigma_orbifold_confluence_probe.py,USED_BY,HEURISTIC
groupoid,experiments/tfpt-discovery/groupoid_halfdensity_probe.py,USED_BY,HEURISTIC
groupoid,experiments/tfpt-discovery/groupoid_halfdensity_result.json,USED_BY,HEURISTIC
groupoid,experiments/tfpt-discovery/moonshot_arch_glue_probe.py,USED_BY,HEURISTIC
groupoid,experiments/tfpt-discovery/moonshot_hecke_groupoid_probe.py,USED_BY,HEURISTIC
groupoid,experiments/tfpt-discovery/moonshot_state_probe.py,USED_BY,HEURISTIC
groupoid,verification/v714_moonshot_hecke_groupoid.py,USED_BY,HEURISTIC
groupoid-modular-function,analytic-object,INSTANCE_OF,HEURISTIC
groupoid-modular-function,groupoid,REQUIRES,THEOREM
groupoid-modular-function,experiments/tfpt-discovery/kneser_groupoid_halfdensity_probe.py,USED_BY,HEURISTIC
half-density,analytic-object,INSTANCE_OF,HEURISTIC
half-density,groupoid,REQUIRES,THEOREM
half-density,experiments/tfpt-discovery/groupoid_halfdensity_result.json,USED_BY,HEURISTIC
half-density,experiments/tfpt-discovery/kneser_groupoid_halfdensity_probe.py,USED_BY,HEURISTIC
half-density,experiments/tfpt-discovery/parabolic_detline2_probe.py,USED_BY,HEURISTIC
half-density,experiments/tfpt-discovery/parabolic_detline_probe.py,USED_BY,HEURISTIC
half-density,experiments/tfpt-discovery/parabolic_detline_result.json,USED_BY,HEURISTIC
hamiltonian-psd-language,positive-cone-blindness,BLOCKED_BY,CONDITIONAL
hamiltonian-psd-language,positive-cone-blindness,BLOCKED_BY,CONDITIONAL
hamiltonian-psd-language,spectral-framework,INSTANCE_OF,HEURISTIC
hankel-positivity,positivity-criterion,INSTANCE_OF,HEURISTIC
hankel-positivity,stieltjes-function,REQUIRES,CONDITIONAL
hardy-space-h2,analytic-object,INSTANCE_OF,HEURISTIC
heat-zeta-regularization,discrete-spectrum-neutrality,BLOCKED_BY,THEOREM
heat-zeta-regularization,spectral-framework,INSTANCE_OF,HEURISTIC
hecke-correspondence,arithmetic-geometry,INSTANCE_OF,HEURISTIC
hecke-correspondence,experiments/tfpt-discovery/e8_pneighbor_hecke_probe.py,USED_BY,HEURISTIC
hecke-correspondence,experiments/tfpt-discovery/hecke_index_theorem_probe.py,USED_BY,HEURISTIC
hecke-correspondence,experiments/tfpt-discovery/hecke_mod_ramified_probe.py,USED_BY,HEURISTIC
hecke-correspondence,experiments/tfpt-discovery/hecke_orbit_transfer_probe.py,USED_BY,HEURISTIC
hecke-correspondence,experiments/tfpt-discovery/moonshot_hecke_groupoid_probe.py,USED_BY,HEURISTIC
hecke-index-theorem,analytic-object,INSTANCE_OF,HEURISTIC
